                          Options
                          seed: 1122
                          batch_size: 32
                          no_cuda: False
                          max_frames: 1400000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 1
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          dueling: False
                          multi_step: 1
                          env: SlimeVolley-v0
                          negative: False
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 1000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:1
Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32) Discrete(6)
Frame: 10000, Avg. Reward: -4.750, Avg. RL Loss: nan, Avg. Length: 610.9
Frame: 20000, Avg. Reward: -4.882, Avg. RL Loss: 0.005, Avg. Length: 593.2
Frame: 30000, Avg. Reward: -4.938, Avg. RL Loss: 0.004, Avg. Length: 626.3
Frame: 40000, Avg. Reward: -4.733, Avg. RL Loss: 0.004, Avg. Length: 645.2
Frame: 50000, Avg. Reward: -4.706, Avg. RL Loss: 0.004, Avg. Length: 578.4
Frame: 60000, Avg. Reward: -4.895, Avg. RL Loss: 0.006, Avg. Length: 553.8
Frame: 70000, Avg. Reward: -4.941, Avg. RL Loss: 0.006, Avg. Length: 561.3
Frame: 80000, Avg. Reward: -4.944, Avg. RL Loss: 0.007, Avg. Length: 579.3
Frame: 90000, Avg. Reward: -4.833, Avg. RL Loss: 0.006, Avg. Length: 557.8
Frame: 100000, Avg. Reward: -4.824, Avg. RL Loss: 0.006, Avg. Length: 586.6
Frame: 110000, Avg. Reward: -4.941, Avg. RL Loss: 0.006, Avg. Length: 584.7
Frame: 120000, Avg. Reward: -4.941, Avg. RL Loss: 0.006, Avg. Length: 581.6
Frame: 130000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 544.4
Frame: 140000, Avg. Reward: -4.941, Avg. RL Loss: 0.006, Avg. Length: 610.9
Frame: 150000, Avg. Reward: -4.941, Avg. RL Loss: 0.006, Avg. Length: 570.6
Frame: 160000, Avg. Reward: -4.588, Avg. RL Loss: 0.006, Avg. Length: 607.8
Frame: 170000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 626.0
Frame: 180000, Avg. Reward: -5.000, Avg. RL Loss: 0.006, Avg. Length: 567.2
Frame: 190000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 596.4
Frame: 200000, Avg. Reward: -4.824, Avg. RL Loss: 0.006, Avg. Length: 614.8
Frame: 210000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 596.5
Frame: 220000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 594.9
Frame: 230000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 618.0
Frame: 240000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 593.3
Frame: 250000, Avg. Reward: -4.833, Avg. RL Loss: 0.006, Avg. Length: 602.3
Frame: 260000, Avg. Reward: -4.750, Avg. RL Loss: 0.006, Avg. Length: 609.8
Frame: 270000, Avg. Reward: -4.941, Avg. RL Loss: 0.006, Avg. Length: 587.1
Frame: 280000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 597.4
Frame: 290000, Avg. Reward: -4.889, Avg. RL Loss: 0.006, Avg. Length: 583.8
Frame: 300000, Avg. Reward: -4.933, Avg. RL Loss: 0.006, Avg. Length: 635.3
Frame: 310000, Avg. Reward: -4.706, Avg. RL Loss: 0.006, Avg. Length: 589.7
Frame: 320000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 639.6
Frame: 330000, Avg. Reward: -4.824, Avg. RL Loss: 0.006, Avg. Length: 533.6
Frame: 340000, Avg. Reward: -4.750, Avg. RL Loss: 0.006, Avg. Length: 640.2
Frame: 350000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 578.4
Frame: 360000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 568.5
Frame: 370000, Avg. Reward: -4.765, Avg. RL Loss: 0.006, Avg. Length: 617.6
Frame: 380000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 613.0
Frame: 390000, Avg. Reward: -4.778, Avg. RL Loss: 0.006, Avg. Length: 553.1
Frame: 400000, Avg. Reward: -4.944, Avg. RL Loss: 0.006, Avg. Length: 578.9
