                          Options
                          seed: 1122
                          batch_size: 32
                          no_cuda: False
                          max_frames: 1400000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 1
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          dueling: False
                          multi_step: 1
                          env: SlimeVolleyPixel-v0
                          negative: False
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 1000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:1
Box(0, 1, (3, 84, 168), uint8) Discrete(6)
Frame: 10000, Avg. Reward: -4.714, Avg. RL Loss: nan, Avg. Length: 693.5
Frame: 20000, Avg. Reward: -4.733, Avg. RL Loss: 0.003, Avg. Length: 660.6
Frame: 30000, Avg. Reward: -4.929, Avg. RL Loss: 0.001, Avg. Length: 692.3
Frame: 40000, Avg. Reward: -4.812, Avg. RL Loss: 0.001, Avg. Length: 605.2
Frame: 50000, Avg. Reward: -4.429, Avg. RL Loss: 0.001, Avg. Length: 710.3
Frame: 60000, Avg. Reward: -4.941, Avg. RL Loss: 0.001, Avg. Length: 579.8
Frame: 70000, Avg. Reward: -4.889, Avg. RL Loss: 0.001, Avg. Length: 567.1
Frame: 80000, Avg. Reward: -4.824, Avg. RL Loss: 0.001, Avg. Length: 609.4
Frame: 90000, Avg. Reward: -4.812, Avg. RL Loss: 0.001, Avg. Length: 608.3
Frame: 100000, Avg. Reward: -4.833, Avg. RL Loss: 0.001, Avg. Length: 554.4
Frame: 110000, Avg. Reward: -4.688, Avg. RL Loss: 0.001, Avg. Length: 612.4
Frame: 120000, Avg. Reward: -5.000, Avg. RL Loss: 0.001, Avg. Length: 615.9
Frame: 130000, Avg. Reward: -5.000, Avg. RL Loss: 0.001, Avg. Length: 564.4
Frame: 140000, Avg. Reward: -4.938, Avg. RL Loss: 0.001, Avg. Length: 590.8
Frame: 150000, Avg. Reward: -4.941, Avg. RL Loss: 0.001, Avg. Length: 615.1
Frame: 160000, Avg. Reward: -4.824, Avg. RL Loss: 0.001, Avg. Length: 574.9
Frame: 170000, Avg. Reward: -4.625, Avg. RL Loss: 0.001, Avg. Length: 616.9
Frame: 180000, Avg. Reward: -5.000, Avg. RL Loss: 0.001, Avg. Length: 604.2
Frame: 190000, Avg. Reward: -4.944, Avg. RL Loss: 0.001, Avg. Length: 569.8
Frame: 200000, Avg. Reward: -4.667, Avg. RL Loss: 0.001, Avg. Length: 637.9
Frame: 210000, Avg. Reward: -4.941, Avg. RL Loss: 0.001, Avg. Length: 587.9
Frame: 220000, Avg. Reward: -4.733, Avg. RL Loss: 0.001, Avg. Length: 677.7
Frame: 230000, Avg. Reward: -4.812, Avg. RL Loss: 0.001, Avg. Length: 642.1
Frame: 240000, Avg. Reward: -4.875, Avg. RL Loss: 0.001, Avg. Length: 601.6
Frame: 250000, Avg. Reward: -4.941, Avg. RL Loss: 0.001, Avg. Length: 582.5
Frame: 260000, Avg. Reward: -4.882, Avg. RL Loss: 0.001, Avg. Length: 614.3
Frame: 270000, Avg. Reward: -4.750, Avg. RL Loss: 0.001, Avg. Length: 610.4
Frame: 280000, Avg. Reward: -4.765, Avg. RL Loss: 0.001, Avg. Length: 602.3
Frame: 290000, Avg. Reward: -4.941, Avg. RL Loss: 0.001, Avg. Length: 578.5
