                          Options
                          seed: 1122
                          batch_size: 32
                          no_cuda: False
                          max_frames: 30000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 1
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          dueling: False
                          multi_step: 1
                          env: SlimeVolleyNoFrameskip-v0
                          negative: False
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 1000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:0
Box(0, 1, (4, 84, 84), uint8) Discrete(6)
Frame: 10000, Avg. Reward: -4.859, Avg. RL Loss: nan, Avg. Length: 139.9
Frame: 20000, Avg. Reward: -4.806, Avg. RL Loss: 0.011, Avg. Length: 149.9
Frame: 30000, Avg. Reward: -4.877, Avg. RL Loss: 0.004, Avg. Length: 152.9
Frame: 40000, Avg. Reward: -4.969, Avg. RL Loss: 0.005, Avg. Length: 154.8
Frame: 50000, Avg. Reward: -4.926, Avg. RL Loss: 0.005, Avg. Length: 146.8
Frame: 60000, Avg. Reward: -4.896, Avg. RL Loss: 0.005, Avg. Length: 149.8
Frame: 70000, Avg. Reward: -4.833, Avg. RL Loss: 0.005, Avg. Length: 150.8
Frame: 80000, Avg. Reward: -4.800, Avg. RL Loss: 0.005, Avg. Length: 153.3
Frame: 90000, Avg. Reward: -4.803, Avg. RL Loss: 0.005, Avg. Length: 152.6
Frame: 100000, Avg. Reward: -4.794, Avg. RL Loss: 0.005, Avg. Length: 145.7
Frame: 110000, Avg. Reward: -4.912, Avg. RL Loss: 0.005, Avg. Length: 147.0
Frame: 120000, Avg. Reward: -4.866, Avg. RL Loss: 0.005, Avg. Length: 149.1
Frame: 130000, Avg. Reward: -4.864, Avg. RL Loss: 0.005, Avg. Length: 152.6
Frame: 140000, Avg. Reward: -4.906, Avg. RL Loss: 0.004, Avg. Length: 154.6
Frame: 150000, Avg. Reward: -4.882, Avg. RL Loss: 0.004, Avg. Length: 147.9
Frame: 160000, Avg. Reward: -4.859, Avg. RL Loss: 0.004, Avg. Length: 156.7
Frame: 170000, Avg. Reward: -4.909, Avg. RL Loss: 0.004, Avg. Length: 151.2
Frame: 180000, Avg. Reward: -4.909, Avg. RL Loss: 0.004, Avg. Length: 153.1
Frame: 190000, Avg. Reward: -4.833, Avg. RL Loss: 0.003, Avg. Length: 150.4
Frame: 200000, Avg. Reward: -4.826, Avg. RL Loss: 0.003, Avg. Length: 145.2
Frame: 210000, Avg. Reward: -4.836, Avg. RL Loss: 0.003, Avg. Length: 148.7
Frame: 220000, Avg. Reward: -4.750, Avg. RL Loss: 0.003, Avg. Length: 157.2
Frame: 230000, Avg. Reward: -4.864, Avg. RL Loss: 0.003, Avg. Length: 150.0
Frame: 240000, Avg. Reward: -4.868, Avg. RL Loss: 0.003, Avg. Length: 148.2
Frame: 250000, Avg. Reward: -4.866, Avg. RL Loss: 0.003, Avg. Length: 149.1
Frame: 260000, Avg. Reward: -4.868, Avg. RL Loss: 0.003, Avg. Length: 146.1
Frame: 270000, Avg. Reward: -4.841, Avg. RL Loss: 0.003, Avg. Length: 145.3
Frame: 280000, Avg. Reward: -4.788, Avg. RL Loss: 0.003, Avg. Length: 152.2
Frame: 290000, Avg. Reward: -4.891, Avg. RL Loss: 0.003, Avg. Length: 156.8
Frame: 300000, Avg. Reward: -4.841, Avg. RL Loss: 0.003, Avg. Length: 144.2
Frame: 310000, Avg. Reward: -4.879, Avg. RL Loss: 0.003, Avg. Length: 151.5
Frame: 320000, Avg. Reward: -4.818, Avg. RL Loss: 0.003, Avg. Length: 151.7
Frame: 330000, Avg. Reward: -4.794, Avg. RL Loss: 0.003, Avg. Length: 157.9
Frame: 340000, Avg. Reward: -4.806, Avg. RL Loss: 0.003, Avg. Length: 150.1
Frame: 350000, Avg. Reward: -4.864, Avg. RL Loss: 0.003, Avg. Length: 150.0
Frame: 360000, Avg. Reward: -4.908, Avg. RL Loss: 0.003, Avg. Length: 154.0
