                          Options
                          seed: 1122
                          batch_size: 32
                          no_cuda: False
                          max_frames: 30000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 1
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          hidden_dim: 512
                          dueling: False
                          multi_step: 1
                          env: SlimeVolleyNoFrameskip-v0
                          negative: False
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 1000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:0
Box(0, 1, (4, 84, 84), uint8) Discrete(6)
Frame: 10000, Avg. Reward: -4.859, Avg. RL Loss: nan, Avg. Length: 139.9
Frame: 20000, Avg. Reward: -4.826, Avg. RL Loss: 0.005, Avg. Length: 145.3
Frame: 30000, Avg. Reward: -4.877, Avg. RL Loss: 0.003, Avg. Length: 152.0
Frame: 40000, Avg. Reward: -4.939, Avg. RL Loss: 0.004, Avg. Length: 153.4
Frame: 50000, Avg. Reward: -4.857, Avg. RL Loss: 0.005, Avg. Length: 157.6
Frame: 60000, Avg. Reward: -4.938, Avg. RL Loss: 0.004, Avg. Length: 156.4
Frame: 70000, Avg. Reward: -4.803, Avg. RL Loss: 0.004, Avg. Length: 164.8
Frame: 80000, Avg. Reward: -4.763, Avg. RL Loss: 0.005, Avg. Length: 167.9
Frame: 90000, Avg. Reward: -4.921, Avg. RL Loss: 0.005, Avg. Length: 160.7
Frame: 100000, Avg. Reward: -4.754, Avg. RL Loss: 0.004, Avg. Length: 161.9
Frame: 110000, Avg. Reward: -4.803, Avg. RL Loss: 0.004, Avg. Length: 166.4
Frame: 120000, Avg. Reward: -4.776, Avg. RL Loss: 0.005, Avg. Length: 169.2
Frame: 130000, Avg. Reward: -4.806, Avg. RL Loss: 0.004, Avg. Length: 163.7
Frame: 140000, Avg. Reward: -4.783, Avg. RL Loss: 0.005, Avg. Length: 166.1
Frame: 150000, Avg. Reward: -4.797, Avg. RL Loss: 0.004, Avg. Length: 168.9
Frame: 160000, Avg. Reward: -4.762, Avg. RL Loss: 0.004, Avg. Length: 158.8
Frame: 170000, Avg. Reward: -4.803, Avg. RL Loss: 0.005, Avg. Length: 152.9
Frame: 180000, Avg. Reward: -4.821, Avg. RL Loss: 0.004, Avg. Length: 176.0
Frame: 190000, Avg. Reward: -4.855, Avg. RL Loss: 0.004, Avg. Length: 163.5
Frame: 200000, Avg. Reward: -4.867, Avg. RL Loss: 0.004, Avg. Length: 166.6
Frame: 210000, Avg. Reward: -4.803, Avg. RL Loss: 0.004, Avg. Length: 163.4
Frame: 220000, Avg. Reward: -4.869, Avg. RL Loss: 0.004, Avg. Length: 163.1
Frame: 230000, Avg. Reward: -4.685, Avg. RL Loss: 0.004, Avg. Length: 186.7
Frame: 240000, Avg. Reward: -4.684, Avg. RL Loss: 0.004, Avg. Length: 175.2
Frame: 250000, Avg. Reward: -4.869, Avg. RL Loss: 0.004, Avg. Length: 163.0
Frame: 260000, Avg. Reward: -4.817, Avg. RL Loss: 0.004, Avg. Length: 167.7
Frame: 270000, Avg. Reward: -4.814, Avg. RL Loss: 0.004, Avg. Length: 169.5
Frame: 280000, Avg. Reward: -4.862, Avg. RL Loss: 0.004, Avg. Length: 169.3
Frame: 290000, Avg. Reward: -4.847, Avg. RL Loss: 0.004, Avg. Length: 169.6
Frame: 300000, Avg. Reward: -4.810, Avg. RL Loss: 0.004, Avg. Length: 175.0
Frame: 310000, Avg. Reward: -4.741, Avg. RL Loss: 0.004, Avg. Length: 185.3
Frame: 320000, Avg. Reward: -4.690, Avg. RL Loss: 0.004, Avg. Length: 172.6
Frame: 330000, Avg. Reward: -4.786, Avg. RL Loss: 0.004, Avg. Length: 177.6
Frame: 340000, Avg. Reward: -4.814, Avg. RL Loss: 0.004, Avg. Length: 170.1
Frame: 350000, Avg. Reward: -4.796, Avg. RL Loss: 0.004, Avg. Length: 183.4
Frame: 360000, Avg. Reward: -4.768, Avg. RL Loss: 0.004, Avg. Length: 180.1
Frame: 370000, Avg. Reward: -4.673, Avg. RL Loss: 0.004, Avg. Length: 193.1
Frame: 380000, Avg. Reward: -4.811, Avg. RL Loss: 0.004, Avg. Length: 188.7
