                          Options
                          seed: 1122
                          batch_size: 32
                          no_cuda: False
                          max_frames: 10000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 1
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          hidden_dim: 256
                          dueling: False
                          multi_step: 1
                          env: SlimeVolley-v0
                          negative: False
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 1000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:0
Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32) Discrete(6)
Frame: 10000, Avg. Reward: -4.733, Avg. RL Loss: nan, Avg. Length: 645.7
Frame: 20000, Avg. Reward: -4.882, Avg. RL Loss: 0.004, Avg. Length: 600.6
Frame: 30000, Avg. Reward: -4.938, Avg. RL Loss: 0.004, Avg. Length: 626.8
Frame: 40000, Avg. Reward: -4.733, Avg. RL Loss: 0.006, Avg. Length: 639.9
Frame: 50000, Avg. Reward: -4.706, Avg. RL Loss: 0.006, Avg. Length: 610.6
Frame: 60000, Avg. Reward: -4.889, Avg. RL Loss: 0.006, Avg. Length: 529.8
Frame: 70000, Avg. Reward: -4.944, Avg. RL Loss: 0.006, Avg. Length: 579.9
Frame: 80000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 602.4
Frame: 90000, Avg. Reward: -4.706, Avg. RL Loss: 0.006, Avg. Length: 613.1
Frame: 100000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 580.2
Frame: 110000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 614.4
Frame: 120000, Avg. Reward: -5.000, Avg. RL Loss: 0.006, Avg. Length: 592.3
Frame: 130000, Avg. Reward: -4.824, Avg. RL Loss: 0.006, Avg. Length: 596.8
Frame: 140000, Avg. Reward: -5.000, Avg. RL Loss: 0.006, Avg. Length: 563.0
Frame: 150000, Avg. Reward: -4.889, Avg. RL Loss: 0.006, Avg. Length: 571.9
Frame: 160000, Avg. Reward: -4.750, Avg. RL Loss: 0.007, Avg. Length: 615.1
Frame: 170000, Avg. Reward: -4.688, Avg. RL Loss: 0.006, Avg. Length: 586.1
Frame: 180000, Avg. Reward: -4.833, Avg. RL Loss: 0.006, Avg. Length: 588.0
Frame: 190000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 644.7
Frame: 200000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 615.8
Frame: 210000, Avg. Reward: -4.833, Avg. RL Loss: 0.006, Avg. Length: 580.6
Frame: 220000, Avg. Reward: -4.750, Avg. RL Loss: 0.006, Avg. Length: 627.9
Frame: 230000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 591.7
Frame: 240000, Avg. Reward: -4.944, Avg. RL Loss: 0.006, Avg. Length: 583.1
Frame: 250000, Avg. Reward: -4.733, Avg. RL Loss: 0.006, Avg. Length: 646.1
Frame: 260000, Avg. Reward: -4.765, Avg. RL Loss: 0.006, Avg. Length: 595.5
Frame: 270000, Avg. Reward: -4.800, Avg. RL Loss: 0.006, Avg. Length: 683.1
Frame: 280000, Avg. Reward: -4.750, Avg. RL Loss: 0.006, Avg. Length: 608.1
Frame: 290000, Avg. Reward: -5.000, Avg. RL Loss: 0.006, Avg. Length: 577.1
Frame: 300000, Avg. Reward: -4.824, Avg. RL Loss: 0.006, Avg. Length: 601.2
Frame: 310000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 595.8
Frame: 320000, Avg. Reward: -4.562, Avg. RL Loss: 0.006, Avg. Length: 616.3
Frame: 330000, Avg. Reward: -4.812, Avg. RL Loss: 0.007, Avg. Length: 623.6
Frame: 340000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 588.6
Frame: 350000, Avg. Reward: -4.733, Avg. RL Loss: 0.006, Avg. Length: 657.7
Frame: 360000, Avg. Reward: -4.833, Avg. RL Loss: 0.006, Avg. Length: 560.9
Frame: 370000, Avg. Reward: -4.688, Avg. RL Loss: 0.007, Avg. Length: 589.7
Frame: 380000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 622.4
Frame: 390000, Avg. Reward: -4.733, Avg. RL Loss: 0.006, Avg. Length: 649.3
Frame: 400000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 628.6
Frame: 410000, Avg. Reward: -4.688, Avg. RL Loss: 0.006, Avg. Length: 616.1
Frame: 420000, Avg. Reward: -4.812, Avg. RL Loss: 0.007, Avg. Length: 643.6
Frame: 430000, Avg. Reward: -4.625, Avg. RL Loss: 0.007, Avg. Length: 622.1
Frame: 440000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 616.8
Frame: 450000, Avg. Reward: -4.867, Avg. RL Loss: 0.007, Avg. Length: 624.2
Frame: 460000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 587.6
Frame: 470000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 589.2
Frame: 480000, Avg. Reward: -5.000, Avg. RL Loss: 0.007, Avg. Length: 646.2
Frame: 490000, Avg. Reward: -4.812, Avg. RL Loss: 0.007, Avg. Length: 632.6
Frame: 500000, Avg. Reward: -4.812, Avg. RL Loss: 0.007, Avg. Length: 622.6
Frame: 510000, Avg. Reward: -4.941, Avg. RL Loss: 0.007, Avg. Length: 589.8
Frame: 520000, Avg. Reward: -4.417, Avg. RL Loss: 0.007, Avg. Length: 771.9
Frame: 530000, Avg. Reward: -4.800, Avg. RL Loss: 0.007, Avg. Length: 670.7
Frame: 540000, Avg. Reward: -4.938, Avg. RL Loss: 0.006, Avg. Length: 636.7
Frame: 550000, Avg. Reward: -4.714, Avg. RL Loss: 0.006, Avg. Length: 668.1
Frame: 560000, Avg. Reward: -4.882, Avg. RL Loss: 0.006, Avg. Length: 574.0
Frame: 570000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 627.1
Frame: 580000, Avg. Reward: -4.875, Avg. RL Loss: 0.007, Avg. Length: 614.5
Frame: 590000, Avg. Reward: -5.000, Avg. RL Loss: 0.007, Avg. Length: 640.2
Frame: 600000, Avg. Reward: -4.933, Avg. RL Loss: 0.006, Avg. Length: 642.1
Frame: 610000, Avg. Reward: -4.812, Avg. RL Loss: 0.006, Avg. Length: 618.3
Frame: 620000, Avg. Reward: -4.643, Avg. RL Loss: 0.007, Avg. Length: 697.2
Frame: 630000, Avg. Reward: -4.875, Avg. RL Loss: 0.007, Avg. Length: 597.0
Frame: 640000, Avg. Reward: -4.929, Avg. RL Loss: 0.006, Avg. Length: 673.0
Frame: 650000, Avg. Reward: -4.933, Avg. RL Loss: 0.007, Avg. Length: 689.7
Frame: 660000, Avg. Reward: -4.941, Avg. RL Loss: 0.007, Avg. Length: 579.6
Frame: 670000, Avg. Reward: -5.000, Avg. RL Loss: 0.007, Avg. Length: 618.4
Frame: 680000, Avg. Reward: -4.875, Avg. RL Loss: 0.006, Avg. Length: 627.0
