                          Options
                          seed: 1122
                          batch_size: 256
                          no_cuda: False
                          max_frames: 1000000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 100
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 1
                          hidden_dim: 256
                          dueling: False
                          multi_step: 1
                          env: SlimeVolley-v0
                          ram: False
                          negative: False
                          against_baseline: True
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 3000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:0
Load SlimeVolley env: SlimeVolley-v0
Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32) Discrete(6)
Frame: 10000, Avg. Reward: -4.733, Avg. RL Loss: nan, Avg. Length: 645.7
Frame: 20000, Avg. Reward: -4.882, Avg. RL Loss: 0.005, Avg. Length: 576.2
Frame: 30000, Avg. Reward: -4.941, Avg. RL Loss: 0.004, Avg. Length: 614.6
Frame: 40000, Avg. Reward: -4.750, Avg. RL Loss: 0.004, Avg. Length: 607.2
Frame: 50000, Avg. Reward: -4.765, Avg. RL Loss: 0.004, Avg. Length: 581.9
Frame: 60000, Avg. Reward: -4.842, Avg. RL Loss: 0.005, Avg. Length: 528.3
Frame: 70000, Avg. Reward: -4.944, Avg. RL Loss: 0.006, Avg. Length: 566.2
Frame: 80000, Avg. Reward: -4.947, Avg. RL Loss: 0.006, Avg. Length: 533.3
Frame: 90000, Avg. Reward: -4.750, Avg. RL Loss: 0.007, Avg. Length: 612.9
Frame: 100000, Avg. Reward: -4.941, Avg. RL Loss: 0.006, Avg. Length: 591.0
Frame: 110000, Avg. Reward: -5.000, Avg. RL Loss: 0.007, Avg. Length: 584.8
Frame: 120000, Avg. Reward: -5.000, Avg. RL Loss: 0.006, Avg. Length: 563.6
Frame: 130000, Avg. Reward: -4.947, Avg. RL Loss: 0.008, Avg. Length: 542.7
Frame: 140000, Avg. Reward: -4.938, Avg. RL Loss: 0.008, Avg. Length: 630.1
Frame: 150000, Avg. Reward: -4.889, Avg. RL Loss: 0.008, Avg. Length: 573.9
Frame: 160000, Avg. Reward: -4.600, Avg. RL Loss: 0.006, Avg. Length: 651.3
Frame: 170000, Avg. Reward: -4.938, Avg. RL Loss: 0.007, Avg. Length: 606.2
