                          Options
                          seed: 1122
                          batch_size: 1024
                          no_cuda: False
                          max_frames: 500000000
                          buffer_size: 1000000
                          update_target: 1000
                          train_freq: 100
                          gamma: 0.999
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 10
                          hidden_dim: 256
                          dueling: False
                          multi_step: 1
                          env: SlimeVolley-v0
                          ram: False
                          negative: False
                          against_baseline: True
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 3000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 1000000
                          cuda: True
                          device: cuda:0
[Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32), Box(-3.4028234663852886e+38, 3.4028234663852886e+38, (12,), float32)] [Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6), Discrete(6)]
(12,)
(12,)
Frame: 100000, Avg. Reward: -5.892, Avg. RL Loss: 0.004, Avg. Length: 750.0
Frame: 200000, Avg. Reward: -6.038, Avg. RL Loss: 0.004, Avg. Length: 762.5
Frame: 300000, Avg. Reward: -6.375, Avg. RL Loss: 0.004, Avg. Length: 806.6
Frame: 400000, Avg. Reward: -6.171, Avg. RL Loss: 0.005, Avg. Length: 754.6
Frame: 500000, Avg. Reward: -6.175, Avg. RL Loss: 0.005, Avg. Length: 793.4
Frame: 600000, Avg. Reward: -6.308, Avg. RL Loss: 0.006, Avg. Length: 817.8
Frame: 700000, Avg. Reward: -6.108, Avg. RL Loss: 0.007, Avg. Length: 799.2
Frame: 800000, Avg. Reward: -6.238, Avg. RL Loss: 0.007, Avg. Length: 784.1
Frame: 900000, Avg. Reward: -6.300, Avg. RL Loss: 0.007, Avg. Length: 789.5
Frame: 1000000, Avg. Reward: -6.908, Avg. RL Loss: 0.007, Avg. Length: 860.5
Frame: 1100000, Avg. Reward: -6.533, Avg. RL Loss: 0.007, Avg. Length: 829.5
Frame: 1200000, Avg. Reward: -6.108, Avg. RL Loss: 0.008, Avg. Length: 746.7
Frame: 1300000, Avg. Reward: -5.969, Avg. RL Loss: 0.009, Avg. Length: 765.8
Frame: 1400000, Avg. Reward: -6.129, Avg. RL Loss: 0.009, Avg. Length: 766.9
Frame: 1500000, Avg. Reward: -6.673, Avg. RL Loss: 0.009, Avg. Length: 840.2
Frame: 1600000, Avg. Reward: -6.254, Avg. RL Loss: 0.009, Avg. Length: 785.5
Frame: 1700000, Avg. Reward: -6.323, Avg. RL Loss: 0.009, Avg. Length: 787.3
Frame: 1800000, Avg. Reward: -6.542, Avg. RL Loss: 0.010, Avg. Length: 841.8
Frame: 1900000, Avg. Reward: -6.183, Avg. RL Loss: 0.010, Avg. Length: 838.8
Frame: 2000000, Avg. Reward: -6.692, Avg. RL Loss: 0.009, Avg. Length: 840.5
Frame: 2100000, Avg. Reward: -6.233, Avg. RL Loss: 0.010, Avg. Length: 828.6
Frame: 2200000, Avg. Reward: -6.545, Avg. RL Loss: 0.009, Avg. Length: 862.3
Frame: 2300000, Avg. Reward: -5.977, Avg. RL Loss: 0.010, Avg. Length: 817.2
Frame: 2400000, Avg. Reward: -6.200, Avg. RL Loss: 0.010, Avg. Length: 819.0
Frame: 2500000, Avg. Reward: -6.455, Avg. RL Loss: 0.009, Avg. Length: 884.5
Frame: 2600000, Avg. Reward: -6.600, Avg. RL Loss: 0.010, Avg. Length: 911.2
Frame: 2700000, Avg. Reward: -6.342, Avg. RL Loss: 0.009, Avg. Length: 866.5
Frame: 2800000, Avg. Reward: -6.300, Avg. RL Loss: 0.010, Avg. Length: 886.1
Frame: 2900000, Avg. Reward: -6.475, Avg. RL Loss: 0.010, Avg. Length: 845.2
Frame: 3000000, Avg. Reward: -6.292, Avg. RL Loss: 0.009, Avg. Length: 839.9
Frame: 3100000, Avg. Reward: -6.318, Avg. RL Loss: 0.009, Avg. Length: 856.4
Frame: 3200000, Avg. Reward: -6.491, Avg. RL Loss: 0.010, Avg. Length: 902.0
Frame: 3300000, Avg. Reward: -6.258, Avg. RL Loss: 0.010, Avg. Length: 866.2
Frame: 3400000, Avg. Reward: -6.655, Avg. RL Loss: 0.010, Avg. Length: 934.9
Frame: 3500000, Avg. Reward: -6.118, Avg. RL Loss: 0.010, Avg. Length: 857.3
Frame: 3600000, Avg. Reward: -6.300, Avg. RL Loss: 0.010, Avg. Length: 855.3
Frame: 3700000, Avg. Reward: -6.645, Avg. RL Loss: 0.010, Avg. Length: 931.5
Frame: 3800000, Avg. Reward: -6.545, Avg. RL Loss: 0.011, Avg. Length: 895.7
Frame: 3900000, Avg. Reward: -6.427, Avg. RL Loss: 0.011, Avg. Length: 892.7
Frame: 4000000, Avg. Reward: -6.218, Avg. RL Loss: 0.011, Avg. Length: 897.5
Frame: 4100000, Avg. Reward: -6.367, Avg. RL Loss: 0.011, Avg. Length: 879.7
Frame: 4200000, Avg. Reward: -6.650, Avg. RL Loss: 0.011, Avg. Length: 972.7
Frame: 4300000, Avg. Reward: -7.167, Avg. RL Loss: 0.012, Avg. Length: 1041.9
Frame: 4400000, Avg. Reward: -6.355, Avg. RL Loss: 0.011, Avg. Length: 895.9
Frame: 4500000, Avg. Reward: -6.525, Avg. RL Loss: 0.010, Avg. Length: 920.2
Frame: 4600000, Avg. Reward: -6.730, Avg. RL Loss: 0.011, Avg. Length: 979.4
Frame: 4700000, Avg. Reward: -6.273, Avg. RL Loss: 0.010, Avg. Length: 897.7
Frame: 4800000, Avg. Reward: -6.550, Avg. RL Loss: 0.010, Avg. Length: 958.0
Frame: 4900000, Avg. Reward: -6.117, Avg. RL Loss: 0.010, Avg. Length: 862.1
Frame: 5000000, Avg. Reward: -6.309, Avg. RL Loss: 0.011, Avg. Length: 910.3
Frame: 5100000, Avg. Reward: -6.427, Avg. RL Loss: 0.010, Avg. Length: 906.8
