                          Options
                          seed: 1122
                          batch_size: 32
                          no_cuda: False
                          max_frames: 20000000
                          buffer_size: 100000
                          update_target: 1000
                          train_freq: 1
                          gamma: 0.99
                          eta: 0.1
                          rl_start: 10000
                          sl_start: 1000
                          num_envs: 1
                          hidden_dim: 64
                          dueling: False
                          multi_step: 1
                          env: Pong-ram-v0
                          ram: False
                          negative: False
                          against_baseline: True
                          load_model: None
                          save_model: model
                          evaluate: False
                          render: False
                          evaluation_interval: 10000
                          lr: 0.0001
                          max_tag_interval: 10000
                          eps_start: 1.0
                          eps_final: 0.01
                          eps_decay: 30000
                          cuda: True
                          device: cuda:0
Load Gym env: Pong-ram-v0
Box(0, 255, (128,), uint8) Discrete(6)
(128,)
(128,)
Frame: 10000, Avg. Reward: -20.500, Avg. RL Loss: nan, Avg. Length: 1237.9
Frame: 20000, Avg. Reward: -20.250, Avg. RL Loss: 0.008, Avg. Length: 1220.5
Frame: 30000, Avg. Reward: -20.125, Avg. RL Loss: 0.006, Avg. Length: 1245.0
Frame: 40000, Avg. Reward: -19.857, Avg. RL Loss: 0.004, Avg. Length: 1288.4
Frame: 50000, Avg. Reward: -20.333, Avg. RL Loss: 0.004, Avg. Length: 1178.1
Frame: 60000, Avg. Reward: -20.000, Avg. RL Loss: 0.005, Avg. Length: 1225.2
Frame: 70000, Avg. Reward: -20.556, Avg. RL Loss: 0.007, Avg. Length: 1120.3
Frame: 80000, Avg. Reward: -20.667, Avg. RL Loss: 0.007, Avg. Length: 1162.2
Frame: 90000, Avg. Reward: -20.556, Avg. RL Loss: 0.007, Avg. Length: 1154.7
Frame: 100000, Avg. Reward: -20.889, Avg. RL Loss: 0.007, Avg. Length: 1111.3
Frame: 110000, Avg. Reward: -20.625, Avg. RL Loss: 0.007, Avg. Length: 1122.2
Frame: 120000, Avg. Reward: -20.778, Avg. RL Loss: 0.006, Avg. Length: 1093.6
Frame: 130000, Avg. Reward: -20.667, Avg. RL Loss: 0.007, Avg. Length: 1157.3
Frame: 140000, Avg. Reward: -20.778, Avg. RL Loss: 0.009, Avg. Length: 1098.8
Frame: 150000, Avg. Reward: -20.800, Avg. RL Loss: 0.010, Avg. Length: 1073.7
Frame: 160000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1096.6
Frame: 170000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1062.7
Frame: 180000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1054.2
Frame: 190000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1102.9
Frame: 200000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1066.9
Frame: 210000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1083.1
Frame: 220000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1125.4
Frame: 230000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1102.1
Frame: 240000, Avg. Reward: -20.800, Avg. RL Loss: 0.009, Avg. Length: 1076.4
Frame: 250000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1080.9
Frame: 260000, Avg. Reward: -20.778, Avg. RL Loss: 0.009, Avg. Length: 1108.4
Frame: 270000, Avg. Reward: -20.667, Avg. RL Loss: 0.009, Avg. Length: 1114.0
Frame: 280000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1126.3
Frame: 290000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1077.4
Frame: 300000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1077.4
Frame: 310000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1070.5
Frame: 320000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1110.4
Frame: 330000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1073.0
Frame: 340000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1083.3
Frame: 350000, Avg. Reward: -20.889, Avg. RL Loss: 0.009, Avg. Length: 1077.7
Frame: 360000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1061.4
Frame: 370000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1067.6
Frame: 380000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1049.7
Frame: 390000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1030.9
Frame: 400000, Avg. Reward: -20.800, Avg. RL Loss: 0.010, Avg. Length: 1088.5
Frame: 410000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1086.2
Frame: 420000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1049.8
Frame: 430000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1069.8
Frame: 440000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1034.0
Frame: 450000, Avg. Reward: -20.667, Avg. RL Loss: 0.009, Avg. Length: 1109.7
Frame: 460000, Avg. Reward: -20.800, Avg. RL Loss: 0.010, Avg. Length: 1057.3
Frame: 470000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1064.8
Frame: 480000, Avg. Reward: -20.800, Avg. RL Loss: 0.010, Avg. Length: 1075.1
Frame: 490000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1066.6
Frame: 500000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1094.0
Frame: 510000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1085.9
Frame: 520000, Avg. Reward: -21.000, Avg. RL Loss: 0.009, Avg. Length: 1078.6
Frame: 530000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1108.6
Frame: 540000, Avg. Reward: -20.778, Avg. RL Loss: 0.009, Avg. Length: 1096.3
Frame: 550000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1035.9
Frame: 560000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1057.2
Frame: 570000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1059.7
Frame: 580000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1057.2
Frame: 590000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1067.1
Frame: 600000, Avg. Reward: -20.556, Avg. RL Loss: 0.010, Avg. Length: 1102.8
Frame: 610000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1055.2
Frame: 620000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1071.4
Frame: 630000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1065.8
Frame: 640000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1096.1
Frame: 650000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1117.0
Frame: 660000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1081.6
Frame: 670000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1086.4
Frame: 680000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1061.4
Frame: 690000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1040.7
Frame: 700000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1068.7
Frame: 710000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1066.5
Frame: 720000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1045.1
Frame: 730000, Avg. Reward: -20.444, Avg. RL Loss: 0.010, Avg. Length: 1110.0
Frame: 740000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1047.1
Frame: 750000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1073.1
Frame: 760000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1082.6
Frame: 770000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1059.4
Frame: 780000, Avg. Reward: -20.667, Avg. RL Loss: 0.009, Avg. Length: 1098.9
Frame: 790000, Avg. Reward: -20.778, Avg. RL Loss: 0.009, Avg. Length: 1085.1
Frame: 800000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1052.9
Frame: 810000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1038.9
Frame: 820000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1073.9
Frame: 830000, Avg. Reward: -20.700, Avg. RL Loss: 0.009, Avg. Length: 1075.1
Frame: 840000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1101.3
Frame: 850000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1063.3
Frame: 860000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1059.7
Frame: 870000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1078.4
Frame: 880000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1097.9
Frame: 890000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1091.2
Frame: 900000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1072.7
Frame: 910000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1112.0
Frame: 920000, Avg. Reward: -20.750, Avg. RL Loss: 0.010, Avg. Length: 1119.9
Frame: 930000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1049.9
Frame: 940000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1053.7
Frame: 950000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1064.0
Frame: 960000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1081.1
Frame: 970000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1040.4
Frame: 980000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1064.3
Frame: 990000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1087.1
Frame: 1000000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1060.8
Frame: 1010000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1069.7
Frame: 1020000, Avg. Reward: -20.556, Avg. RL Loss: 0.010, Avg. Length: 1118.6
Frame: 1030000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1061.1
Frame: 1040000, Avg. Reward: -20.800, Avg. RL Loss: 0.010, Avg. Length: 1076.2
Frame: 1050000, Avg. Reward: -20.889, Avg. RL Loss: 0.009, Avg. Length: 1059.1
Frame: 1060000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1108.2
Frame: 1070000, Avg. Reward: -21.000, Avg. RL Loss: 0.010, Avg. Length: 1054.7
Frame: 1080000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1095.3
Frame: 1090000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1099.9
Frame: 1100000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1059.0
Frame: 1110000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1077.2
Frame: 1120000, Avg. Reward: -20.778, Avg. RL Loss: 0.009, Avg. Length: 1099.1
Frame: 1130000, Avg. Reward: -20.889, Avg. RL Loss: 0.009, Avg. Length: 1086.6
Frame: 1140000, Avg. Reward: -20.900, Avg. RL Loss: 0.010, Avg. Length: 1052.5
Frame: 1150000, Avg. Reward: -20.889, Avg. RL Loss: 0.009, Avg. Length: 1032.2
Frame: 1160000, Avg. Reward: -20.778, Avg. RL Loss: 0.010, Avg. Length: 1095.7
Frame: 1170000, Avg. Reward: -20.800, Avg. RL Loss: 0.010, Avg. Length: 1070.9
Frame: 1180000, Avg. Reward: -20.667, Avg. RL Loss: 0.010, Avg. Length: 1100.0
Frame: 1190000, Avg. Reward: -20.889, Avg. RL Loss: 0.010, Avg. Length: 1072.6
